Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds
Toronto Raptors,108,Cleveland Cavaliers,122,+496,-653
Brooklyn Nets,108,Sacramento Kings,103,+328,-401
Orlando Magic,95,Charlotte Hornets,84,-207,+181
Toronto Raptors,100,Detroit Pistons,102,+173,-196
New Orleans Pelicans,110,Indiana Pacers,114,+227,-263
Dallas Mavericks,129,Atlanta Hawks,119,+127,-142
Los Angeles Clippers,94,Boston Celtics,126,+391,-492
Portland Trail Blazers,98,Memphis Grizzlies,123,+381,-478
New York Knicks,145,Denver Nuggets,118,+142,-160
Brooklyn Nets,128,Golden State Warriors,120,+607,-847
Oklahoma City Thunder,130,Sacramento Kings,109,-176,+156
Chicago Bulls,127,Washington Wizards,108,-185,+138
Milwaukee Bucks,106,Miami Heat,103,-103,-128
Houston Rockets,117,Minnesota Timberwolves,111,+127,-172
San Antonio Spurs,128,Utah Jazz,115,-144,+108
Los Angeles Lakers,100,Phoenix Suns,127,-108,-121
Miami Heat,98,Charlotte Hornets,94,-164,+145
Atlanta Hawks,135,Cleveland Cavaliers,124,+384,-480
Portland Trail Blazers,114,Indiana Pacers,121,+378,-471
Chicago Bulls,119,Orlando Magic,133,+333,-409
Houston Rockets,122,Philadelphia 76ers,115,-203,+179
Los Angeles Clippers,121,Washington Wizards,96,-534,+420
New York Knicks,114,Dallas Mavericks,129,-171,+151
Detroit Pistons,111,Memphis Grizzlies,131,+282,-336
Sacramento Kings,115,Minnesota Timberwolves,104,+138,-156
Toronto Raptors,119,New Orleans Pelicans,93,+127,-143
Los Angeles Lakers,119,San Antonio Spurs,101,-127,+114
Brooklyn Nets,127,Phoenix Suns,117,+267,-316
Denver Nuggets,122,Utah Jazz,103,-421,+343
Oklahoma City Thunder,105,Golden State Warriors,101,-133,+118
New York Knicks,99,Charlotte Hornets,98,-400,+269
Cleveland Cavaliers,101,Atlanta Hawks,117,-263,+189
New Orleans Pelicans,109,Memphis Grizzlies,120,+332,-526
Orlando Magic,123,Brooklyn Nets,100,-196,+145
Los Angeles Clippers,92,Minnesota Timberwolves,93,+160,-217
Boston Celtics,138,Chicago Bulls,129,-454,+300
Detroit Pistons,130,Indiana Pacers,106,+214,-303
Toronto Raptors,111,Miami Heat,121,+210,-294
Oklahoma City Thunder,101,Los Angeles Lakers,93,-120,-109
Sacramento Kings,106,Portland Trail Blazers,115,-204,+150
Atlanta Hawks,107,Charlotte Hornets,104,-215,+187
Philadelphia 76ers,111,Detroit Pistons,96,+106,-118
Washington Wizards,114,Milwaukee Bucks,124,+760,-1086
Golden State Warriors,105,Phoenix Suns,113,+114,-127
Dallas Mavericks,106,Utah Jazz,94,-240,+208
Orlando Magic,100,Brooklyn Nets,92,-259,+223
Indiana Pacers,121,Memphis Grizzlies,136,+217,-251
Boston Celtics,111,Cleveland Cavaliers,115,-114,+102
New Orleans Pelicans,85,New York Knicks,118,+541,-729
Miami Heat,116,Toronto Raptors,119,-184,+162
Oklahoma City Thunder,116,Houston Rockets,119,-119,+107
Los Angeles Lakers,105,Utah Jazz,104,-282,+240
Dallas Mavericks,137,Portland Trail Blazers,131,-214,+177
