Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds,Date,Start (ET),Attend.,LOG,Arena
Indiana Pacers,115.0,Philadelphia 76ers,102.0,-389,319,2025-01-18,7:00p,17274.0,2:20,Gainbridge Fieldhouse
Boston Celtics,115.0,Atlanta Hawks,119.0,-404,329,2025-01-18,7:00p,19156.0,2:40,TD Garden
Minnesota Timberwolves,117.0,Cleveland Cavaliers,124.0,203,-233,2025-01-18,9:00p,18978.0,2:16,Target Center
Portland Trail Blazers,103.0,Houston Rockets,125.0,478,-628,2025-01-18,10:00p,17077.0,2:05,Moda Center
Miami Heat,128.0,San Antonio Spurs,107.0,-150,133,2025-01-19,3:00p,19828.0,2:00,Kaseya Center
Oklahoma City Thunder,127.0,Brooklyn Nets,101.0,-1265,857,2025-01-19,7:00p,18203.0,2:03,Paycom Center
Milwaukee Bucks,123.0,Philadelphia 76ers,109.0,-729,542,2025-01-19,7:00p,17345.0,2:09,Fiserv Forum
Sacramento Kings,123.0,Washington Wizards,100.0,-1562,1010,2025-01-19,9:00p,17832.0,2:15,Golden 1 Center
Portland Trail Blazers,113.0,Chicago Bulls,102.0,205,-237,2025-01-19,9:00p,16976.0,2:18,Moda Center
Charlotte Hornets,110.0,Dallas Mavericks,105.0,151,-172,2025-01-20,12:00p,19314.0,2:21,Spectrum Center
Houston Rockets,96.0,Detroit Pistons,107.0,-314,265,2025-01-20,2:00p,18055.0,2:04,Toyota Center
Memphis Grizzlies,108.0,Minnesota Timberwolves,106.0,-219,191,2025-01-20,2:30p,17794.0,2:30,FedEx Forum
New York Knicks,119.0,Atlanta Hawks,110.0,-259,222,2025-01-20,3:00p,19812.0,2:24,Madison Square Garden (IV)
Cleveland Cavaliers,118.0,Phoenix Suns,92.0,-315,265,2025-01-20,3:30p,19432.0,2:14,Rocket Mortgage Fieldhouse
New Orleans Pelicans,123.0,Utah Jazz,119.0,-510,404,2025-01-20,8:00p,14830.0,2:30,Smoothie King Center
