Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds,Date,Start (ET),Attend.,LOG,Arena
Washington Wizards,120.0,Minnesota Timberwolves,106.0,-925,657,2025-01-13,7:00p,14386.0,2:12,Capital One Arena
New York Knicks,124.0,Detroit Pistons,119.0,247,-291,2025-01-13,7:30p,19812.0,2:17,Madison Square Garden (IV)
Houston Rockets,118.0,Memphis Grizzlies,120.0,133,-149,2025-01-13,8:00p,18055.0,2:20,Toyota Center
Los Angeles Lakers,126.0,San Antonio Spurs,102.0,146,-165,2025-01-13,10:30p,18737.0,2:14,Crypto.com Arena
Philadelphia 76ers,118.0,Oklahoma City Thunder,102.0,-636,486,2025-01-14,7:00p,19771.0,2:05,Wells Fargo Center
Indiana Pacers,127.0,Cleveland Cavaliers,117.0,-334,279,2025-01-14,7:00p,16035.0,2:26,Gainbridge Fieldhouse
Atlanta Hawks,117.0,Phoenix Suns,122.0,-145,129,2025-01-14,7:30p,16221.0,2:11,State Farm Arena
Milwaukee Bucks,115.0,Sacramento Kings,130.0,121,-136,2025-01-14,8:00p,17341.0,2:08,Fiserv Forum
Chicago Bulls,119.0,New Orleans Pelicans,113.0,104,-116,2025-01-14,8:00p,17210.0,2:11,United Center
Portland Trail Blazers,132.0,Brooklyn Nets,114.0,192,-220,2025-01-14,10:00p,16127.0,2:13,Moda Center
Philadelphia 76ers,125.0,New York Knicks,119.0,0,0,2025-01-15,7:00p,20088.0,2:34,Wells Fargo Center
Toronto Raptors,97.0,Boston Celtics,110.0,-1030,728,2025-01-15,7:30p,18566.0,2:09,Scotiabank Arena
New Orleans Pelicans,116.0,Dallas Mavericks,119.0,-132,118,2025-01-15,8:00p,16488.0,2:13,Smoothie King Center
Chicago Bulls,110.0,Atlanta Hawks,94.0,116,-130,2025-01-15,8:00p,17692.0,2:06,United Center
Milwaukee Bucks,93.0,Orlando Magic,122.0,190,-216,2025-01-15,8:00p,17341.0,2:13,Fiserv Forum
Utah Jazz,117.0,Charlotte Hornets,112.0,-198,174,2025-01-15,9:00p,18175.0,2:09,Delta Center
San Antonio Spurs,129.0,Memphis Grizzlies,115.0,-139,124,2025-01-15,8:00p,18354.0,2:08,Frost Bank Center
San Antonio Spurs,140.0,Memphis Grizzlies,112.0,-139,124,2025-01-17,9:30p,18354.0,2:19,Frost Bank Center
Los Angeles Lakers,108.0,Miami Heat,117.0,170,-194,2025-01-15,10:00p,17005.0,2:03,Crypto.com Arena
Detroit Pistons,111.0,Indiana Pacers,100.0,109,-121,2025-01-16,7:00p,16366.0,2:16,Little Caesars Arena
Washington Wizards,130.0,Phoenix Suns,123.0,-632,482,2025-01-16,7:00p,15792.0,2:19,Capital One Arena
Oklahoma City Thunder,114.0,Cleveland Cavaliers,134.0,115,-128,2025-01-16,7:30p,18203.0,2:12,Paycom Center
Sacramento Kings,127.0,Houston Rockets,132.0,151,-170,2025-01-16,10:00p,18227.0,2:21,Golden 1 Center
Boston Celtics,94.0,Orlando Magic,121.0,718,-1010,2025-01-17,7:00p,19156.0,2:23,TD Garden
New York Knicks,116.0,Minnesota Timberwolves,99.0,161,-182,2025-01-17,7:30p,19812.0,2:07,Madison Square Garden (IV)
New Orleans Pelicans,123.0,Utah Jazz,136.0,474,-617,2025-01-17,8:00p,18321.0,2:23,Smoothie King Center
Milwaukee Bucks,112.0,Toronto Raptors,130.0,451,-584,2025-01-17,8:00p,17341.0,2:17,Fiserv Forum
Chicago Bulls,125.0,Charlotte Hornets,123.0,166,-188,2025-01-17,8:00p,20598.0,2:11,United Center
Dallas Mavericks,98.0,Oklahoma City Thunder,106.0,-316,266,2025-01-17,8:30p,20311.0,2:31,American Airlines Center
San Antonio Spurs,140.0,Memphis Grizzlies,112.0,-138,123,2025-01-17,9:30p,18354.0,2:19,Frost Bank Center
Los Angeles Lakers,101.0,Brooklyn Nets,102.0,448,-581,2025-01-17,10:30p,18473.0,2:03,Crypto.com Arena
Detroit Pistons,125.0,Phoenix Suns,121.0,-113,101,2025-01-18,4:00p,20062.0,2:27,Little Caesars Arena
Indiana Pacers,102.0,Philadelphia 76ers,115.0,319,-389,2025-01-18,7:00p,17274.0,2:20,Gainbridge Fieldhouse
Boston Celtics,119.0,Atlanta Hawks,115.0,329,-404,2025-01-18,7:00p,19156.0,2:40,TD Garden
Minnesota Timberwolves,124.0,Cleveland Cavaliers,117.0,-233,203,2025-01-18,9:00p,18978.0,2:16,Target Center
Portland Trail Blazers,125.0,Houston Rockets,103.0,-628,478,2025-01-18,10:00p,17077.0,2:05,Moda Center
Miami Heat,107.0,San Antonio Spurs,128.0,133,-150,2025-01-19,3:00p,19828.0,2:00,Kaseya Center
Oklahoma City Thunder,101.0,Brooklyn Nets,127.0,857,-1265,2025-01-19,7:00p,18203.0,2:03,Paycom Center
Milwaukee Bucks,109.0,Philadelphia 76ers,123.0,542,-729,2025-01-19,7:00p,17345.0,2:09,Fiserv Forum
Sacramento Kings,100.0,Washington Wizards,123.0,1010,-1562,2025-01-19,9:00p,17832.0,2:15,Golden 1 Center
Portland Trail Blazers,102.0,Chicago Bulls,113.0,-237,205,2025-01-19,9:00p,16976.0,2:18,Moda Center
Charlotte Hornets,105.0,Dallas Mavericks,110.0,-172,151,2025-01-20,12:00p,19314.0,2:21,Spectrum Center
Houston Rockets,107.0,Detroit Pistons,96.0,265,-314,2025-01-20,2:00p,18055.0,2:04,Toyota Center
Memphis Grizzlies,106.0,Minnesota Timberwolves,108.0,191,-219,2025-01-20,2:30p,17794.0,2:30,FedEx Forum
New York Knicks,110.0,Atlanta Hawks,119.0,222,-259,2025-01-20,3:00p,19812.0,2:24,Madison Square Garden (IV)
Cleveland Cavaliers,92.0,Phoenix Suns,118.0,265,-315,2025-01-20,3:30p,19432.0,2:14,Rocket Mortgage Fieldhouse
New Orleans Pelicans,119.0,Utah Jazz,123.0,404,-510,2025-01-20,8:00p,14830.0,2:30,Smoothie King Center
